Protein_A,Protein_B,Correlation,P_value,Abs_Correlation
Hmcn1,Srpx,-1.0,0.0,1.0
Hmcn1,Srpx2,-1.0,0.0,1.0
Hmcn1,Tgm1,1.0,0.0,1.0
Hmcn1,Thbs1,-0.7288689868556625,0.0009029735311402593,0.7288689868556625
Hmcn1,Thbs3,1.0,0.0,1.0
Hmcn1,Vwa5a,0.5485298130021853,0.022606111780429924,0.5485298130021853
Hmcn1,Vwf,-0.5485298130021853,0.022606111780429924,0.5485298130021853
Hmcn2,Hspg2,-0.684443580968124,0.0024391434979938427,0.684443580968124
Hmcn2,Htra1,-0.6415381624596744,0.005505154017728241,0.6415381624596744
Hmcn2,Kcp,0.5065607304015044,0.0379820225393794,0.5065607304015044
Hmcn2,Lama1,-0.548394956488375,0.022646151368553046,0.548394956488375
Hmcn2,Lama5,-0.5285212796149796,0.029176204604287406,0.5285212796149796
Hmcn2,Lamc1,-0.688529811302262,0.0022418131683659037,0.688529811302262
Hmcn2,Lgi1,0.7087126066134289,0.0014486427036033772,0.7087126066134289
Hmcn2,Lgi3,-0.548394956488375,0.022646151368553046,0.548394956488375
Hmcn2,Loxl1,-0.5065607304015044,0.0379820225393794,0.5065607304015044
Hmcn2,Ltbp2,0.5065607304015044,0.0379820225393794,0.5065607304015044
Hmcn2,Matn2,0.6783142354669168,0.002761560837692883,0.6783142354669168
Hmcn2,Matn4,0.548394956488375,0.022646151368553046,0.548394956488375
Hmcn2,Megf10,-0.5592542625574517,0.019593979443737274,0.5592542625574517
Hmcn2,Megf6,0.5065607304015044,0.0379820225393794,0.5065607304015044
Hmcn2,Megf8,0.5592542625574517,0.019593979443737274,0.5592542625574517
Hmcn2,Megf9,0.548394956488375,0.022646151368553046,0.548394956488375
Hmcn2,Mmp17,0.548394956488375,0.022646151368553046,0.548394956488375
Hmcn2,Ncan,-0.548394956488375,0.022646151368553046,0.548394956488375
Hmcn2,Nell2,0.548394956488375,0.022646151368553046,0.548394956488375
Hmcn2,Npnt,-0.5065607304015044,0.0379820225393794,0.5065607304015044
Hmcn2,Nrg3,0.5592542625574517,0.019593979443737274,0.5592542625574517
Hmcn2,Ntng1,0.5592542625574517,0.019593979443737274,0.5592542625574517
Hmcn2,Ovos,0.548394956488375,0.022646151368553046,0.548394956488375
